comm_id,trader_id,timestamp,channel,sentiment,is_flagged,linked_trade_id,counterparty_id,keyword_hits
COM0000001,TRD0498,2023-03-20 07:47:02.810292697,Email,Neutral,1,TRD0011212,TRD0432,3
COM0000002,TRD0356,2023-09-06 13:41:39.693137676,Phone,Positive,1,TRD0051524,TRD0153,7
COM0000003,TRD0270,2023-09-21 16:36:00.623279827,Chat,Neutral,1,TRD0072954,TRD0241,6
COM0000004,TRD0070,2023-08-01 03:50:04.038228440,Bloomberg,Positive,1,TRD0085014,TRD0391,9
COM0000005,TRD0351,2023-01-30 13:29:34.172452835,Chat,Neutral,1,TRD0035028,TRD0307,11
COM0000006,TRD0235,2024-11-05 09:22:46.696047109,Phone,Negative,1,TRD0081665,TRD0432,10
COM0000007,TRD0173,2023-02-26 23:10:55.397433764,Email,Neutral,1,TRD0002573,TRD0331,14
COM0000008,TRD0029,2023-04-04 01:12:10.072000199,Email,Neutral,1,TRD0000642,TRD0033,9
COM0000009,TRD0053,2024-02-11 17:02:29.420899148,Email,Positive,1,TRD0014484,TRD0191,3
COM0000010,TRD0009,2024-08-22 09:56:07.063252356,Email,Positive,1,TRD0046879,TRD0342,7
COM0000011,TRD0120,2024-10-18 12:30:32.359173822,Email,Positive,1,TRD0022337,TRD0342,10
COM0000012,TRD0266,2023-05-23 09:02:48.353556232,Phone,Neutral,1,TRD0072252,TRD0102,3
COM0000013,TRD0475,2023-07-09 17:05:01.061857334,Phone,Positive,1,TRD0004072,TRD0353,14
COM0000014,TRD0301,2024-03-11 05:34:33.489912465,Email,Positive,1,TRD0108288,TRD0453,9
COM0000015,TRD0113,2024-10-28 08:59:13.354535992,Email,Positive,1,TRD0097517,TRD0154,10
COM0000016,TRD0168,2024-10-09 10:49:45.061631527,Chat,Negative,1,TRD0002327,TRD0032,3
COM0000017,TRD0042,2023-12-24 01:23:24.716322673,Email,Positive,1,TRD0016959,TRD0463,3
COM0000018,TRD0107,2024-01-19 21:04:43.060088985,Email,Neutral,1,TRD0101355,TRD0295,14
COM0000019,TRD0033,2024-12-28 14:06:20.911020442,Email,Neutral,1,TRD0085725,TRD0500,5
COM0000020,TRD0034,2024-01-26 05:38:42.151554233,Phone,Neutral,1,TRD0006841,TRD0113,9
COM0000021,TRD0366,2024-01-02 18:09:02.079740578,Chat,Positive,1,TRD0059342,TRD0357,12
COM0000022,TRD0184,2023-08-27 12:18:02.390546847,Email,Neutral,1,TRD0068450,TRD0489,12
COM0000023,TRD0408,2024-12-23 03:35:42.989118108,Email,Neutral,1,TRD0047395,TRD0389,7
COM0000024,TRD0301,2023-04-10 10:15:05.743960600,Chat,Neutral,1,TRD0051100,TRD0038,3
COM0000025,TRD0108,2024-03-08 13:41:09.289410351,Chat,Neutral,1,TRD0006473,TRD0327,5
COM0000026,TRD0296,2023-10-27 22:37:11.422653527,Phone,Neutral,1,TRD0056422,TRD0314,10
COM0000027,TRD0482,2024-10-29 23:30:18.834579328,Chat,Neutral,1,TRD0043179,TRD0335,9
COM0000028,TRD0382,2024-04-02 04:41:03.681661843,Email,Positive,1,TRD0052409,TRD0033,6
COM0000029,TRD0444,2023-05-27 21:03:12.707019684,Bloomberg,Neutral,1,TRD0000073,TRD0397,10
COM0000030,TRD0199,2023-12-11 02:58:04.631720364,Email,Neutral,1,TRD0102981,TRD0184,7
COM0000031,TRD0087,2023-09-08 15:26:19.959928715,Chat,Neutral,1,TRD0084464,TRD0236,3
COM0000032,TRD0282,2024-06-05 16:12:57.907694745,Email,Neutral,1,TRD0053715,TRD0354,7
COM0000033,TRD0124,2024-11-01 06:53:30.652229719,Chat,Positive,1,TRD0088901,TRD0487,7
COM0000034,TRD0270,2024-11-19 06:37:12.257724979,Email,Neutral,1,TRD0039577,TRD0182,11
COM0000035,TRD0082,2024-03-27 18:57:47.991709367,Chat,Negative,1,TRD0093241,TRD0244,6
COM0000036,TRD0002,2024-07-23 20:41:56.159315475,Chat,Neutral,1,TRD0003898,TRD0046,7
COM0000037,TRD0248,2023-09-22 04:46:54.991653378,Chat,Neutral,1,TRD0015124,TRD0024,8
COM0000038,TRD0016,2023-01-19 15:25:09.718868062,Email,Urgent,1,TRD0017870,TRD0342,5
COM0000039,TRD0256,2023-01-09 04:45:55.714313313,Email,Neutral,1,TRD0013292,TRD0466,6
COM0000040,TRD0082,2023-01-06 12:36:57.504605283,Email,Positive,1,TRD0005557,TRD0378,6
COM0000041,TRD0239,2023-07-21 09:21:58.839405218,Email,Neutral,1,TRD0037178,TRD0200,14
COM0000042,TRD0235,2023-12-28 16:11:17.874719473,Chat,Neutral,1,TRD0073073,TRD0029,11
COM0000043,TRD0496,2023-11-26 11:42:36.561072230,Bloomberg,Positive,1,TRD0105766,TRD0062,12
COM0000044,TRD0271,2024-02-04 17:42:34.714670951,Phone,Neutral,1,TRD0078718,TRD0159,14
COM0000045,TRD0118,2024-07-03 03:03:16.827606708,Email,Positive,1,TRD0028189,TRD0070,14
COM0000046,TRD0162,2024-11-26 20:56:48.851899714,Email,Neutral,1,TRD0085118,TRD0475,11
