company_id,ticker,sector,market_cap_bn,avg_daily_volume,volatility,is_high_risk
CMP001,AAPL,Energy,2370.77,39671895,0.1811,False
CMP002,MSFT,Healthcare,198.05,87607492,0.2662,True
CMP003,GOOGL,Energy,765.4,17798659,0.2656,False
CMP004,AMZN,Defense,694.16,91689774,0.3271,True
CMP005,META,Defense,2956.17,18620946,0.1952,True
CMP006,TSLA,Finance,2119.77,85175976,0.1965,True
CMP007,NVDA,Finance,1855.27,39634484,0.3709,False
CMP008,JPM,Energy,19.93,96493539,0.1644,False
CMP009,GS,Tech,557.01,13790271,0.4444,True
CMP010,MS,Tech,1908.45,47084499,0.572,True
CMP011,BAC,Finance,1142.26,90286147,0.3134,True
CMP012,WFC,Energy,2773.22,5699876,0.5506,True
CMP013,C,Energy,2295.35,27236469,0.1492,False
CMP014,BRK,Defense,1344.92,9272641,0.1215,False
CMP015,V,Defense,2249.8,32806091,0.4607,False
CMP016,MA,Tech,2926.34,39637338,0.4805,False
CMP017,PYPL,Finance,1385.64,62270173,0.5215,False
CMP018,NFLX,Tech,1929.37,26511022,0.1284,True
CMP019,DIS,Energy,2756.4,16709761,0.4885,True
CMP020,BABA,Energy,749.78,17824118,0.2883,False
CMP021,TSM,Finance,2660.24,93902005,0.2517,False
CMP022,ASML,Finance,297.15,95367173,0.1865,False
CMP023,INTC,Finance,1947.1,22919026,0.598,False
CMP024,AMD,Healthcare,2349.6,20346539,0.1318,False
CMP025,QCOM,Defense,1845.75,6365364,0.5135,False
CMP026,AVGO,Energy,1489.13,95978547,0.4197,False
CMP027,TXN,Defense,1853.95,70908908,0.4675,True
CMP028,MU,Energy,459.23,76323045,0.4559,True
CMP029,LRCX,Defense,650.63,29766816,0.5292,True
CMP030,KLAC,Finance,813.35,64453621,0.1919,True
CMP031,BA,Healthcare,1795.35,6921137,0.1004,False
CMP032,LMT,Energy,1328.49,67925877,0.3993,False
CMP033,RTX,Energy,737.21,58386025,0.2769,False
CMP034,NOC,Healthcare,2649.01,33815958,0.1619,False
CMP035,GD,Finance,1124.9,71336471,0.1931,True
CMP036,CAT,Tech,1340.86,64996276,0.2659,False
CMP037,DE,Defense,1232.05,44460852,0.1351,False
CMP038,MMM,Finance,549.92,19482519,0.1285,True
CMP039,HON,Defense,2196.22,3333071,0.558,True
CMP040,GE,Finance,1348.13,93832837,0.2561,False
CMP041,XOM,Finance,53.69,28854560,0.5911,True
CMP042,CVX,Finance,2892.22,30877540,0.5822,False
CMP043,COP,Finance,2448.21,68425536,0.1713,False
CMP044,SLB,Energy,2172.06,26263464,0.4575,False
CMP045,HAL,Defense,2607.93,38199700,0.4004,True
CMP046,OXY,Defense,2720.89,71405117,0.4453,False
CMP047,VLO,Tech,1015.78,59942207,0.1481,False
CMP048,MPC,Defense,1834.82,65988423,0.1943,True
CMP049,PSX,Tech,1828.38,1462407,0.1383,False
CMP050,EOG,Finance,805.56,45678592,0.4021,False
CMP051,JNJ,Defense,669.75,48051531,0.5933,False
CMP052,PFE,Tech,346.15,63612177,0.436,True
CMP053,MRK,Finance,1979.65,15994379,0.4554,False
CMP054,ABBV,Finance,2343.85,16789814,0.5923,True
CMP055,BMY,Healthcare,2284.05,76480738,0.439,True
CMP056,AMGN,Healthcare,952.24,67659502,0.1201,True
CMP057,GILD,Tech,619.75,81307057,0.5335,False
CMP058,BIIB,Energy,1363.57,27790458,0.2823,True
CMP059,REGN,Energy,1642.71,99762713,0.1022,False
CMP060,VRTX,Finance,2757.67,28010761,0.3536,False
