event_id,company_id,event_type,event_date,is_major,expected_impact
EVT0001,CMP032,Earnings,2024-10-17 17:20:52.078275887,True,High
EVT0002,CMP032,Restructuring,2024-02-15 23:09:45.959714091,True,High
EVT0003,CMP037,Restructuring,2024-11-01 23:40:53.145521839,True,High
EVT0004,CMP053,Dividend,2023-08-07 22:41:03.660377034,True,High
EVT0005,CMP051,Earnings,2023-03-25 19:54:12.585771888,True,High
EVT0006,CMP007,M&A,2024-02-11 00:56:50.250219141,False,Low
EVT0007,CMP036,Earnings,2023-09-10 05:48:29.146179989,True,Medium
EVT0008,CMP023,Earnings,2024-08-08 09:24:27.801928478,True,High
EVT0009,CMP048,M&A,2024-10-03 23:29:53.246876131,False,Medium
EVT0010,CMP031,M&A,2023-12-11 23:29:16.479930831,True,High
EVT0011,CMP060,M&A,2024-12-10 02:12:36.367121183,True,Low
EVT0012,CMP026,M&A,2024-02-08 16:47:16.336154367,False,High
EVT0013,CMP041,Earnings,2023-07-17 18:31:31.051661499,False,Medium
EVT0014,CMP007,Earnings,2023-12-23 22:51:03.703794086,False,Medium
EVT0015,CMP056,Dividend,2023-01-28 05:40:34.762437455,True,High
EVT0016,CMP010,Restructuring,2024-08-09 22:06:01.180112202,True,High
EVT0017,CMP023,Earnings,2023-03-16 01:08:31.527490039,False,High
EVT0018,CMP051,M&A,2023-08-14 09:16:24.666861535,False,Low
EVT0019,CMP059,Earnings,2024-02-17 16:20:45.252695792,True,Medium
EVT0020,CMP030,Earnings,2023-02-01 08:55:27.124801207,True,Medium
EVT0021,CMP030,Dividend,2023-02-27 21:37:55.465172310,True,Medium
EVT0022,CMP003,Earnings,2024-05-23 03:57:30.907367949,True,Low
EVT0023,CMP059,M&A,2023-02-22 09:32:04.813528810,False,Medium
EVT0024,CMP001,M&A,2023-12-15 06:29:30.539954533,True,Medium
EVT0025,CMP002,Earnings,2023-09-05 05:56:50.991113574,True,Medium
EVT0026,CMP029,Earnings,2023-06-16 11:57:04.418627100,True,High
EVT0027,CMP001,Earnings,2023-05-18 19:24:22.646057108,True,Low
EVT0028,CMP010,Regulatory,2024-07-11 06:57:57.118301250,True,High
EVT0029,CMP038,M&A,2024-11-25 15:01:09.206374625,True,High
EVT0030,CMP043,M&A,2023-04-13 07:56:56.700248540,True,Low
EVT0031,CMP018,Earnings,2024-12-01 13:36:53.855750541,False,High
EVT0032,CMP048,M&A,2024-03-10 04:14:20.619181743,True,High
EVT0033,CMP037,Earnings,2024-04-13 09:53:25.087071355,True,High
EVT0034,CMP014,M&A,2024-06-02 05:54:36.522208926,True,Medium
EVT0035,CMP043,Dividend,2024-05-29 00:09:46.652444133,True,Low
EVT0036,CMP036,M&A,2024-08-21 11:05:26.215487730,True,High
EVT0037,CMP049,Earnings,2023-12-19 22:22:14.777801977,True,High
EVT0038,CMP010,Earnings,2024-01-25 08:26:32.831727229,True,Medium
EVT0039,CMP014,Earnings,2023-08-25 09:26:56.699372572,True,Low
