trade_id,trader_id,company_id,ticker,trade_timestamp,action,instrument,order_type,quantity,price,trade_value,volume_ratio,volume_zscore_30d,trade_frequency_1h,trade_frequency_24h,buy_sell_ratio,hours_to_next_event,hours_since_last_event,is_pre_event_window,peer_group_deviation,unusual_instrument_flag,after_hours_flag,consecutive_profitable_trades,price_impact_proxy,network_risk,pnl_pct,fraud_probability,anomaly_score,rule_engine_score,risk_score,severity,is_anomalous,anomaly_type
TRD0081719,TRD0418,CMP004,KQZJ,2025-12-09 12:41:53,SELL,ETF,Bracket Order,62790,107.96,6778808.4,7.2463,5.8284,3,14,2.5119,3620.89,11.89,False,3.7768,False,False,3,0.799,0.2915,0.94,0.8229,0.6038,0.5961,67.0,Medium,True,spoofing
TRD0007426,TRD0203,CMP025,JXOT,2025-11-27 10:42:40,BUY,Equity,Market,5243,236.83,1241699.69,1.0569,0.1763,1,1,0.9829,62.88,416.13,False,-0.1289,False,False,0,0.0221,0.1169,-1.19,0.1498,0.0962,0.0143,11.01,Low,False,none
TRD0070820,TRD0024,CMP045,BPXM,2026-05-25 11:50:18,BUY,ETF,Market,114897,268.64,30865930.08,0.7856,-0.7981,1,5,1.3278,159.39,802.49,False,0.3539,False,False,0,0.0276,0.1403,-1.21,0.1063,0.1042,0.068,10.33,Low,False,none
TRD0102537,TRD0041,CMP038,UXVA,2026-02-19 15:44:40,SELL,Equity,Market,207798,660.05,137157069.9,7.4487,4.3043,2,4,2.6413,42.7,1054.25,True,3.3768,False,False,7,0.0265,0.862,0.56,0.9687,0.8686,0.7917,90.14,Critical,True,pump_and_dump
TRD0048977,TRD0003,CMP056,ASGU,2025-11-15 13:31:58,SELL,Equity,Bracket Order,215045,790.96,170091993.2,7.9827,3.5264,3,12,2.0796,19.71,9999.0,True,4.6808,False,False,5,1.0032,0.2248,2.88,0.5978,0.9432,0.4971,64.9,Medium,True,spoofing
TRD0011709,TRD0110,CMP058,JGPO,2026-05-02 14:03:56,SELL,Futures,Stop-Loss,12669,348.84,4419453.96,1.1504,-0.1479,2,4,0.7783,231.93,654.57,False,0.4083,True,False,5,0.1076,0.2277,0.82,0.1942,0.1074,0.0229,14.58,Low,False,none
TRD0094162,TRD0391,CMP022,TTZR,2026-05-15 08:21:02,SELL,ETF,Cover Order,135611,414.26,56178212.86,8.2195,4.9872,1,14,3.7499,1.77,1678.9,True,3.0211,False,True,0,0.9197,0.2387,-5.12,0.5734,0.7242,0.2467,53.62,Medium,True,front_running
TRD0035312,TRD0184,CMP025,JXOT,2025-11-10 10:39:00,BUY,Futures,Market,1230600,257.24,316559544.0,7.317,3.6228,5,20,1.9482,470.94,8.07,False,3.8148,True,False,2,0.4238,0.8894,0.78,0.859,0.8756,0.7884,85.64,Critical,True,pump_and_dump
TRD0084629,TRD0080,CMP037,BUYO,2025-10-01 13:43:39,SELL,ETF,Cover Order,4527,253.43,1147277.61,1.0521,-0.5447,1,19,1.9588,2999.71,9999.0,False,0.4613,False,False,5,0.0658,0.2697,0.27,0.1502,0.01,0.0539,10.56,Low,False,none
TRD0076217,TRD0372,CMP005,QSGC,2026-02-28 12:36:33,SELL,Equity,Cover Order,336586,102.25,34415918.5,10.201,5.5885,5,18,2.3073,32.48,1462.48,True,4.0686,False,False,0,0.8425,0.5577,-4.9,0.9526,0.8981,0.8527,88.18,Critical,True,insider_trading
TRD0117049,TRD0115,CMP019,ADNW,2026-05-26 14:51:28,BUY,Equity,Stop-Loss,22117,22.43,496084.31,1.2134,-0.2507,5,4,0.7789,91.41,354.04,False,-1.0102,False,False,3,0.0355,0.134,6.52,0.0152,0.4216,0.0577,15.54,Low,False,none
TRD0054056,TRD0475,CMP025,JXOT,2026-01-28 13:59:19,BUY,Equity,Cover Order,613874,229.11,140644672.14,2.2279,-1.9946,4,19,0.6503,83.31,1428.4,False,-0.6848,False,False,0,0.1248,0.8184,-6.74,0.0452,0.1909,0.0424,16.58,Low,False,none
TRD0066675,TRD0061,CMP042,EKVN,2026-02-24 11:14:54,BUY,Equity,Stop-Loss,187205,211.07,39513359.35,0.801,-0.9709,2,19,1.5597,81.21,569.55,False,0.207,False,False,0,0.069,0.2803,-0.62,0.0647,0.0924,0.0247,8.86,Low,False,none
TRD0044350,TRD0393,CMP034,SIHG,2025-11-09 12:36:16,SELL,ETF,Bracket Order,6356,298.25,1895677.0,0.8241,-0.1216,5,23,1.2431,443.64,197.58,False,0.2707,False,False,0,0.0572,0.2266,-2.63,0.0461,0.1749,0.1215,11.41,Low,False,none
TRD0033919,TRD0240,CMP034,SIHG,2026-02-27 12:19:22,BUY,Futures,Stop-Loss,11591,295.37,3423633.67,0.9817,0.6443,3,20,0.7273,112.84,81.74,False,-0.1239,True,False,2,0.0321,0.6469,2.98,0.2172,0.0334,0.0102,17.4,Low,False,none
TRD0057487,TRD0156,CMP023,OTXX,2026-04-25 11:14:11,BUY,ETF,Cover Order,10555,3181.19,33577460.45,0.784,0.6039,1,24,0.5878,127.94,2729.83,False,0.6958,False,False,5,0.0197,0.0661,4.39,0.1931,0.011,0.098,11.15,Low,False,none
TRD0085349,TRD0178,CMP052,QXXS,2026-06-09 18:01:59,BUY,Equity,Market,366718,1771.48,649633602.64,8.0604,4.53,3,8,3.3557,42.85,1345.72,True,3.9171,False,True,6,1.039,0.1375,5.43,0.7147,0.6213,0.7773,63.83,Medium,True,pump_and_dump
TRD0082621,TRD0210,CMP024,GGME,2026-01-15 11:57:15,SELL,ETF,Limit,168717,49.85,8410542.45,6.7624,4.1696,3,8,3.7039,10.7,420.29,True,3.3662,False,False,3,0.8673,0.8977,5.83,0.6101,0.6108,0.5488,62.99,Medium,True,insider_trading
TRD0049146,TRD0452,CMP007,PZVF,2026-03-19 14:54:54,BUY,Equity,Market,23521,41.4,973769.4,1.2612,-0.4648,2,18,1.6295,9999.0,118.45,False,0.1752,False,False,4,0.0121,0.0701,4.52,0.0242,0.3791,0.0295,13.61,Low,False,none
TRD0050940,TRD0361,CMP017,FNLM,2025-10-09 14:35:11,BUY,ETF,Cover Order,79287,623.66,49448130.42,2.1004,-1.0617,3,8,1.1512,3678.68,9999.0,False,0.9124,False,False,6,0.0628,0.1152,0.3,0.0644,0.0847,0.0186,6.87,Low,False,none
TRD0036670,TRD0397,CMP055,NKNY,2026-01-21 18:39:00,BUY,ETF,Cover Order,1210384,1098.57,1329691550.88,7.5118,4.3854,1,21,3.5497,1465.68,9.81,False,3.5678,False,True,4,0.5049,0.3764,3.21,0.8769,0.7117,0.5414,72.7,High,True,spoofing
TRD0041145,TRD0087,CMP015,WXZK,2026-03-14 10:01:16,BUY,Equity,Bracket Order,84143,584.13,49150450.59,0.6965,-1.3856,3,21,1.3727,1138.75,362.73,False,0.2526,False,False,3,0.0205,0.0972,5.14,0.0723,0.1554,0.075,10.01,Low,False,none
TRD0105123,TRD0189,CMP034,SIHG,2026-03-04 12:05:47,SELL,Equity,Market,178664,307.38,54917740.32,11.6393,3.2881,2,8,2.6528,114.11,6.94,False,2.9135,False,False,6,0.1119,0.3276,3.15,0.8212,0.8058,0.7036,74.96,High,True,insider_trading
TRD0029153,TRD0045,CMP004,KQZJ,2026-05-08 16:25:29,BUY,Options,Bracket Order,71549,115.22,8243875.78,5.6637,3.492,2,17,2.5057,17.16,3615.61,True,2.6603,True,True,3,0.6431,0.788,3.33,0.9642,0.8639,0.7453,88.37,Critical,True,circular_trading
TRD0000917,TRD0053,CMP018,YGCX,2026-05-16 11:56:40,SELL,ETF,Cover Order,6626,753.95,4995672.7,1.011,0.3049,3,11,1.3948,797.58,176.92,False,-0.0215,False,False,1,0.0605,0.2471,0.51,0.0017,0.1048,0.1239,7.55,Low,False,none
TRD0026157,TRD0309,CMP021,TXFE,2025-12-15 13:51:29,BUY,ETF,Bracket Order,46732,126.14,5894774.48,1.2216,0.1828,3,4,0.9942,435.92,395.14,False,0.1115,False,False,1,0.0399,0.2159,4.47,0.0313,0.1538,0.0304,8.64,Low,False,none
TRD0074505,TRD0248,CMP044,UDJH,2026-05-30 09:43:29,SELL,Options,Market,664760,27.85,18513566.0,9.7687,3.9189,1,3,3.8604,11.15,478.87,True,4.973,True,False,6,0.4301,0.4378,2.49,0.6673,0.6855,0.494,62.38,Medium,True,insider_trading
TRD0078523,TRD0355,CMP028,EZAB,2025-12-18 13:43:17,SELL,Equity,Bracket Order,16625,1943.8,32315675.0,0.9494,1.0183,5,9,1.6781,2828.63,1057.61,False,-0.3574,False,False,0,0.0628,0.1691,-2.24,0.0682,0.1467,0.0201,9.46,Low,False,none
TRD0017957,TRD0042,CMP048,JGWJ,2026-05-22 12:20:59,BUY,Options,Cover Order,867534,113.48,98447758.32,8.4668,3.6779,1,13,1.5754,29.37,878.69,True,2.5049,True,False,3,0.2047,0.4561,3.78,0.4722,0.8156,0.7298,61.22,Medium,True,insider_trading
TRD0090140,TRD0266,CMP035,AQPF,2026-05-04 13:06:16,BUY,Equity,Bracket Order,6355,1020.78,6487056.9,0.9076,1.1801,3,10,0.8822,802.08,330.91,False,-0.5101,False,False,1,0.1045,0.5211,3.44,0.028,0.0169,0.13,8.93,Low,False,none
TRD0081326,TRD0255,CMP003,NCBQ,2026-02-15 13:43:41,BUY,Options,Limit,103566,89.46,9265014.36,3.6414,6.7116,2,19,3.1912,982.52,4.39,False,4.7454,True,False,2,0.0205,0.8046,7.3,0.7699,0.7266,0.2511,68.26,Medium,True,front_running
TRD0077256,TRD0222,CMP005,QSGC,2026-01-10 11:47:48,BUY,Equity,Market,16100,103.73,1670053.0,0.816,0.1765,4,11,1.9243,1209.29,285.67,False,0.8871,False,False,4,0.109,0.7021,0.87,0.1473,0.0314,0.0338,15.1,Low,False,none
TRD0102907,TRD0369,CMP010,VTWH,2026-02-25 10:47:38,BUY,Equity,Limit,22434,62.65,1405490.1,1.0443,-0.3102,4,15,1.2722,62.07,2436.13,False,-1.9697,False,False,2,0.0918,0.5509,4.3,0.0527,0.0176,0.0244,8.77,Low,False,none
TRD0028842,TRD0225,CMP055,NKNY,2026-01-05 09:34:01,SELL,Futures,Bracket Order,244910,1079.25,264319117.5,8.8069,4.3268,4,2,2.6768,49.2,220.88,False,4.739,True,False,6,0.8639,0.3988,1.79,0.8386,0.792,0.8004,77.49,High,True,insider_trading
TRD0030909,TRD0084,CMP001,LMTI,2026-04-07 14:27:49,SELL,ETF,Limit,7608,323.43,2460655.44,0.7236,0.3167,3,13,1.8939,416.36,685.44,False,1.4367,False,False,5,0.1024,0.2018,2.08,0.1565,0.0062,0.0272,9.65,Low,False,none
TRD0078553,TRD0132,CMP057,PNYK,2025-11-01 14:31:09,SELL,ETF,Limit,30592,57.38,1755368.96,1.0903,0.8927,1,18,0.6372,265.17,9999.0,False,-0.6821,False,False,2,0.069,0.0439,0.5,0.046,0.0508,0.0909,5.4,Low,False,none
TRD0025150,TRD0252,CMP001,LMTI,2026-03-09 11:18:20,SELL,Equity,Market,232445,356.04,82759717.8,6.5751,2.8249,5,7,2.0822,13.72,199.61,True,4.1327,False,False,5,0.3661,0.7888,6.56,0.9092,0.588,0.8418,79.07,High,True,spoofing
TRD0018672,TRD0475,CMP014,DJHR,2026-04-15 13:39:53,SELL,ETF,Stop-Loss,3015035,121.37,365934797.95,10.2773,3.9289,1,8,1.7726,36.68,1446.95,True,2.3988,False,False,4,0.4844,0.8184,2.31,0.6396,0.5969,0.7174,65.63,Medium,True,spoofing
TRD0098558,TRD0248,CMP036,UCCA,2025-12-04 17:27:06,BUY,ETF,Bracket Order,206339,175.01,36111388.39,3.411,3.4264,4,16,2.3225,35.67,128.09,True,3.4067,False,True,1,0.4003,0.4378,7.73,0.8252,0.6903,0.7655,73.7,High,True,pump_and_dump
TRD0109140,TRD0326,CMP056,ASGU,2025-11-14 11:22:08,SELL,Equity,Cover Order,214005,741.96,158783149.8,7.3167,6.6222,5,7,1.6984,45.88,9999.0,True,4.4077,False,False,4,0.7087,0.391,1.54,0.7366,0.5086,0.7613,63.73,Medium,True,layering
