trader_id,department,seniority,avg_daily_trades,avg_trade_value,risk_profile,years_experience,network_risk_score,peer_group
TRD0001,Derivatives,Senior,22,3512129,Medium,10,0.5119,10
TRD0002,Fixed Income,Director,3,544163,High,25,0.7355,3
TRD0003,FX,Director,11,3778125,Low,2,0.3661,1
TRD0004,Derivatives,Mid,12,581644,Low,13,0.5623,8
TRD0005,Equities,Mid,20,301766,Medium,24,0.9182,6
TRD0006,Commodities,Senior,4,620865,Medium,28,0.5007,9
TRD0007,Derivatives,Mid,11,2326168,Medium,8,0.8652,2
TRD0008,Derivatives,Senior,5,3116867,Low,19,0.7561,1
TRD0009,Equities,Mid,20,2066258,Low,6,0.0652,6
TRD0010,Fixed Income,Junior,16,653746,Medium,4,0.4134,9
TRD0011,Fixed Income,Junior,13,1035883,Low,11,0.6664,5
TRD0012,Commodities,Senior,11,4269292,Low,26,0.9375,8
TRD0013,Derivatives,Junior,5,4814987,Medium,20,0.4409,10
TRD0014,FX,Mid,23,3783643,Medium,15,0.0972,9
TRD0015,Fixed Income,Mid,16,561898,High,9,0.5383,6
TRD0016,Equities,Junior,9,4108053,Low,5,0.129,7
TRD0017,Fixed Income,Mid,11,3475344,Low,8,0.7164,6
TRD0018,Equities,Senior,18,2653999,High,5,0.4872,7
TRD0019,FX,Junior,18,759030,Low,6,0.69,6
TRD0020,Derivatives,Senior,12,4983552,Low,20,0.8272,6
TRD0021,Derivatives,Director,8,2240901,Low,4,0.6012,5
TRD0022,Fixed Income,Mid,17,268666,Medium,2,0.5857,7
TRD0023,Commodities,Junior,17,1089344,High,16,0.7193,8
TRD0024,FX,Senior,15,2036261,Medium,9,0.8019,10
TRD0025,Derivatives,Junior,3,358517,Medium,14,0.8269,7
TRD0026,Equities,Mid,12,1653486,Low,5,0.0442,2
TRD0027,Fixed Income,Director,16,2368598,Low,7,0.5328,6
TRD0028,Equities,Director,23,4745795,Low,13,0.2133,4
TRD0029,Equities,Senior,14,477556,Low,21,0.8187,1
TRD0030,Derivatives,Mid,9,2905461,Low,13,0.6195,1
